composicion,estrofa,caracter,verso,duracion,velocidad_m,minf0,maxfo,stMm,pendiente_v,st_t,pendiente_t
vp001,2,n,10,1.44527460775344,5.535280255449405,193.18201828563144,303.9184549432752,7.844681650693849,-0.020959040384307525,-6.362644647538314,-16.427889837813556
vp001,3,a,1,1.4114500681877757,5.667929868940783,275.0468048969272,410.47711885552104,6.931495925789234,-0.014197891365080482,-4.915316169476494,-20.45151625350542
vp001,3,a,2,1.1552474380354596,6.924923385767721,225.47230754514513,330.4392137281676,6.617215810177063,-0.017093505091027413,-4.534581796347616,-23.387673480453838
vp001,3,a,3,1.5269867883543924,5.239076107935069,221.44767150138827,311.50533337316165,5.907492440906853,-0.0084672905046771,-2.1868677547982647,-16.466863277333406
vp001,3,a,4,1.429989083137805,5.594448303371458,218.4148476982714,339.82519673708606,7.65266272494917,-0.02433171522825427,-6.24601321036992,-21.496968242857047
vp001,3,a,5,1.4294674248207286,5.596489896230612,239.96862284872645,413.1372803322031,9.405305670134387,-0.017818791386249776,-6.468871111223219,-24.63804026069455
vp001,3,a,6,1.4028705770213108,5.7025930481671745,204.46945335632913,331.84089006329623,8.383276086343706,-0.011322675586165253,-3.0593673483257504,-26.5590070470586
vp001,3,a,7,1.1874717880643857,6.737002159049385,219.84899432391057,279.81158282664484,4.175313013511149,-0.003034682049926603,-0.3456769972987411,-4.504098701576056
vp001,3,a,8,1.4739971509159275,5.427418903102273,222.149468691403,462.82085899498287,12.707078354563855,0.010697901503129928,3.983079920531471,9.058525212340523
vp001,3,a,9,1.3611296809058402,5.877470833400643,218.09234019889215,421.9240903605608,11.424532342376107,-0.009334731490806485,-2.9567587642379705,-11.007413125917259
vp001,3,a,10,0.994646863376623,8.04305557536434,201.54211098467647,304.2692097584812,7.131204438487812,-0.007252037394762974,-1.6373922379450414,-15.896575092466115
vp001,4,d,1,1.2692580863413738,6.302894648526475,228.55565756116818,346.2481406573292,7.191129513128656,-0.022522033258909,-5.620864916158086,-38.535532887914904
vp001,4,d,2,1.2241568490158983,6.535110273190248,213.28590204026452,297.5872794078454,5.766291004544797,-0.0204341799259135,-4.111510890997414,-25.65803609907844
vp001,4,d,3,1.2119739565075633,6.60080190423636,217.96668453201997,361.5000981637791,8.75866077746426,-0.017901729991264728,-4.986563266321876,-30.7249236021671
vp001,4,d,4,1.2236662953979263,6.537730123063057,209.07848059655038,353.9178563543992,9.112439667290118,-0.030581913946203774,-8.824911368703113,-33.043311883007334
vp001,4,d,5,1.2050217336715292,6.63888440885223,262.65889720897064,391.3359940187812,6.9026082824477575,-0.010067646979122028,-3.5655212560619236,-24.79371240884468
vp001,4,d,6,1.539196222269318,5.197517954017051,213.50236490162413,309.5318405154253,6.430029265201868,-0.018813156946253712,-5.05917995194938,-20.694252098971937
vp001,4,d,7,1.526654672851933,5.24021584072792,213.10460297791136,275.81847831855816,4.465888291095952,-0.012988891727768974,-3.448742321919003,-14.226409608637594
vp001,4,d,8,1.5560828708616299,5.141114364667649,206.4188386916211,451.2236245620921,13.539215531284086,0.003935683260974089,1.303078549962422,4.314891013343788
vp001,4,d,9,1.0188610572466956,7.8519047745515795,259.5356537076686,457.9543361309146,9.831252096532893,-0.01136177590835395,-2.9570020890567794,-19.99105455893218
vp001,4,d,10,1.2771899892283614,6.263750943454664,135.99234443182092,346.700690337222,16.201983247882076,-0.0867636451628002,-12.809256158827273,-44.85653056691098
vp001,5,d,1,1.3629808580957103,5.869488153470626,273.76587523785724,423.4612762566243,7.551449046584297,-0.011009306378216496,-4.547822242795838,-19.92718958536859
vp001,5,d,2,1.1749306940432547,6.808912253768632,247.70916130275882,339.00110773818335,5.4317131348141965,-0.0012270826779161583,2.417713632030717,9.89328462350011
vp001,5,d,3,1.3395934547696413,5.971961098731774,219.4526742827386,271.78302942883795,3.702546282123282,-0.009601381932515397,-2.2381010275029727,-20.785354260216472
vp001,5,d,4,1.4832565581007202,5.3935375888334764,207.63902402306195,398.5463770476513,11.288040026764651,-0.03309294440419387,-10.38860109992936,-32.14830668259617
vp001,5,d,5,1.4520783852539694,5.509344454983259,263.8626857500143,434.23135149634686,8.624118557929382,-0.012334769525895808,-5.383017729936874,-24.011751833594932
vp001,5,d,6,1.5945029321926825,5.017237559418465,227.60464729311227,386.3970497929239,9.162648764546956,-0.015957651872969363,-6.153436118422664,-22.40267108874594
vp001,5,d,7,1.4495481201751659,5.518961315360311,216.26548541496908,286.33471675936755,4.858789946984029,-0.007412479828966046,-2.254901793610827,-9.793632321646866
vp001,5,d,8,1.6782164841766445,4.766965451376142,216.62442267170908,444.06187067080975,12.426777543684919,0.004250233310131768,1.5956171620994994,3.970056039897857
vp001,5,d,9,1.3390307482240473,5.974470721161838,262.4839748709674,471.00283111370555,10.12207662434278,-0.010222407609720888,-3.253106788193695,-12.88573873670679
vp001,5,d,10,1.2178570019849388,6.5689157158526035,164.5881392046026,298.0391215407751,10.279696102567893,-0.02483123032203362,-6.013687590430782,-39.71941530863069
